title,price,rating,reviews,availability
"Azure Data Engineering Cookbook: Get well versed in various data engineering techniques in Azure using this recipe-based guide, 2nd Edition",$49.99,3.8 out of 5 stars,11 ratings,In Stock
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",$52.94,4.7 out of 5 stars,236 ratings,Only 3 left in stock - order soon
Machine Learning Engineering in Action,$47.99,5.0 out of 5 stars,10 ratings,Only 6 left in stock (more on the way)
"Azure Machine Learning Engineering: Deploy, fine-tune, and optimize ML models using Microsoft Azure",$39.99,5.0 out of 5 stars,4 ratings,In Stock
"AWS Certified Machine Learning Specialty (MLS-C01) Practice Exams: 3 Practice Exams, Data Engineering, Exploratory Data Analysis, Modeling, Machine Learning Implementation and Operations, NLP",,5.0 out of 5 stars,1 rating,
Data Privacy: A runbook for engineers,$35.49,4.8 out of 5 stars,43 ratings,In Stock
10 Tips and Stories for New Data Analytics Leader: Practical tips and real stories which analytics leaders would face in this commercial world.,,5.0 out of 5 stars,1 rating,
Data Engineering,,3.2 out of 5 stars,13 ratings,
"Handbook of Multisensor Data Fusion: Theory and Practice, Second Edition (Electrical Engineering & Applied Signal Processing Series)",$214.00,4.5 out of 5 stars,5 ratings,Only 2 left in stock - order soon
"Computer Engineering, Data Storage, Networking and Security (Book)",$19.99,4.6 out of 5 stars,3 ratings,In Stock
"Hands-On Data Engineering with R, Python and PostgreSQL",$74.99,5.0 out of 5 stars,1 rating,In Stock
Feature Engineering for Machine Learning: Principles and Techniques for Data Scientists,$47.21,4.5 out of 5 stars,71 ratings,In Stock
"Data Analytics, Data Visualization & Communicating Data: 3 books in 1: Learn the Processes of Data Analytics and Data Science, Create Engaging Data Visualizations, ... Present Data Effectively (All Things Data)",,4.7 out of 5 stars,40 ratings,
Simplifying Data Engineering and Analytics with Delta: Create analytics-ready data that fuels artificial intelligence and business intelligence,$44.99,4.6 out of 5 stars,16 ratings,In Stock
Effective Data Science Infrastructure: How to make data scientists productive,$47.44,4.7 out of 5 stars,10 ratings,In Stock
Data Engineering Podcast,,Previous page,,
Experimentation for Engineers: From A/B testing to Bayesian optimization,$53.99,Previous page,,In Stock
How Data Happened: A History from the Age of Reason to the Age of Algorithms,$30.00,Previous page,,"This title will be released on March 21, 2023."
Snowflake Cookbook: Techniques for building modern cloud data warehousing solutions,$33.66,4.3 out of 5 stars,74 ratings,In Stock
"Engineers Survival Guide: Advice, tactics, and tricks After a decade of working at Facebook, Snapchat, and Microsoft",$29.99,4.5 out of 5 stars,155 ratings,In Stock
Introduction to Machine Learning with Python: A Guide for Data Scientists,$47.71,4.5 out of 5 stars,615 ratings,In Stock
"The Definitive Guide to Azure Data Engineering: Modern ELT, DevOps, and Analytics on the Azure Cloud Platform",$36.43,3.9 out of 5 stars,9 ratings,Only 10 left in stock - order soon
